date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-06-06","36",2015-06-06 23:38:51.653,False,2015-06-06 23:00:00,57.0,22.0,False,2015-06-06 09:15:00
"2015-06-06","30",2015-06-07 00:20:09.813,False,2015-06-06 23:30:00,76.0,66.0,False,2015-06-06 07:00:00
"2015-06-06","10",2015-06-07 00:26:06.489,True,2015-06-07 01:00:00,70.0,49.0,True,2015-06-06 08:15:00
"2015-06-06","22",2015-06-07 03:52:45.494,True,2015-06-07 03:30:00,85.0,10.0,False,2015-06-06 08:30:00
"2015-06-06","18",2015-06-07 00:14:52.112,True,2015-06-07 00:00:00,74.0,28.0,False,2015-06-06 09:30:00
"2015-06-06","34",2015-06-07 00:30:27.710,False,2015-06-06 23:00:00,50.0,47.0,True,2015-06-06 08:30:00
"2015-06-06","20",2015-06-07 04:06:43.182,True,2015-06-06 23:30:00,89.0,51.0,False,2015-06-06 07:00:00
"2015-06-06","26",2015-06-07 03:38:33.177,True,2015-06-07 01:00:00,47.0,10.0,False,2015-06-06 06:15:00
"2015-06-06","9",,False,2015-06-06 23:00:00,76.0,9.0,False,2015-06-06 05:30:00
"2015-06-06","1",2015-06-07 01:26:50.867,False,2015-06-07 02:00:00,79.0,11.0,False,2015-06-06 11:00:00
"2015-06-07","37",2015-06-08 00:29:05.357,False,2015-06-07 23:30:00,25.0,60.0,True,2015-06-07 12:00:00
"2015-06-06","19",2015-06-07 00:13:29.410,False,,,,,
"2015-06-07","29",,False,2015-06-07 23:30:00,68.0,80.0,True,2015-06-07 09:15:00
"2015-06-06","29",2015-06-07 00:25:55.656,False,,,,,
"2015-06-07","30",2015-06-08 00:04:22.643,False,2015-06-07 23:30:00,57.0,70.0,True,2015-06-07 07:45:00
"2015-06-07","10",2015-06-07 23:29:08.621,True,2015-06-07 23:00:00,11.0,100.0,True,2015-06-07 09:15:00
"2015-06-07","18",2015-06-08 00:01:45.099,True,2015-06-07 23:30:00,42.0,59.0,True,2015-06-07 13:00:00
"2015-06-07","1",2015-06-08 03:26:53.596,False,2015-06-08 01:00:00,62.0,71.0,True,2015-06-07 12:00:00
"2015-06-07","34",2015-06-07 22:57:15.510,False,2015-06-07 23:00:00,38.0,46.0,True,2015-06-07 07:30:00
"2015-06-07","22",2015-06-07 22:06:30.118,True,2015-06-07 22:30:00,23.0,78.0,True,2015-06-07 10:00:00
"2015-06-07","9",,False,2015-06-07 23:00:00,11.0,22.0,True,2015-06-07 11:00:00
"2015-06-07","12",2015-06-07 20:52:59.719,True,2015-06-08 00:00:00,75.0,42.0,True,2015-06-07 10:30:00
"2015-06-07","20",2015-06-08 00:24:46.759,True,2015-06-07 23:00:00,81.0,70.0,True,2015-06-07 10:00:00
"2015-06-07","36",2015-06-07 23:08:34.806,False,2015-06-07 22:30:00,59.0,68.0,True,2015-06-07 09:30:00
